"Measurement
Format:wav
MayVersion,none,EFF_Hero301_Atk_Parry,13,Efforts,格挡,龙夜,attack，heavy,EFF_Hero301_Atk_Parry_01,AM_Hero301_Atk_Parry.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Atk_Parry,14,Efforts,格挡,龙夜,attack，heavy,EFF_Hero301_Atk_Parry_02,AM_Hero301_Atk_Parry.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Atk_Parry,15,Efforts,格挡,龙夜,attack，heavy,EFF_Hero301_Atk_Parry_03,AM_Hero301_Atk_Parry.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Atk_ParrySuccess,16,Efforts,格挡成功,龙夜,Dodge Suc,EFF_Hero301_Atk_ParrySuccess_01,AM_Hero301_Atk_ParrySuccess.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Atk_ParrySuccess,17,Efforts,格挡成功,龙夜,Dodge Suc,EFF_Hero301_Atk_ParrySuccess_02,AM_Hero301_Atk_ParrySuccess.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Atk_ParrySuccess,18,Efforts,格挡成功,龙夜,Dodge Suc,EFF_Hero301_Atk_ParrySuccess_03,AM_Hero301_Atk_ParrySuccess.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Dash_B,19,Efforts,冲刺躲避,龙夜,Dash efforts,EFF_Hero301_Dash_B_01,AM_Hero301_Dash_B.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Dash_B,20,Efforts,冲刺躲避,龙夜,Dash efforts,EFF_Hero301_Dash_B_02,AM_Hero301_Dash_B.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Dash_B,21,Efforts,冲刺躲避,龙夜,Dash efforts,EFF_Hero301_Dash_B_03,AM_Hero301_Dash_B.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Dash_F,22,Efforts,冲刺躲避,龙夜,Dash efforts,EFF_Hero301_Dash_F_01,AM_Hero301_Dash_F.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Dash_F,23,Efforts,冲刺躲避,龙夜,Dash efforts,EFF_Hero301_Dash_F_02,AM_Hero301_Dash_F.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Dash_F,24,Efforts,冲刺躲避,龙夜,Dash efforts,EFF_Hero301_Dash_F_03,AM_Hero301_Dash_F.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Hit_Heavy_KnockOver,25,Efforts,受击-击倒,龙夜,Get hurt Heavy and fall,EFF_Hero301_Hit_Heavy_KnockOver_01,AM_Hero301_Hit_Heavy_KnockOver.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Hit_Heavy_KnockOver,26,Efforts,受击-击倒,龙夜,Get hurt Heavy and fall,EFF_Hero301_Hit_Heavy_KnockOver_02,AM_Hero301_Hit_Heavy_KnockOver.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Hit_Heavy_KnockOver,27,Efforts,受击-击倒,龙夜,Get hurt Heavy and fall,EFF_Hero301_Hit_Heavy_KnockOver_03,AM_Hero301_Hit_Heavy_KnockOver.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Hit_Normal_Heavy,28,Efforts,受击-重,龙夜,Get hurt Heavy,EFF_Hero301_Hit_Normal_Heavy_01,AM_Hero301_Hit_Normal_Heavy.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Hit_Normal_Heavy,29,Efforts,受击-重,龙夜,Get hurt Heavy,EFF_Hero301_Hit_Normal_Heavy_02,AM_Hero301_Hit_Normal_Heavy.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Hit_Normal_Heavy,30,Efforts,受击-重,龙夜,Get hurt Heavy,EFF_Hero301_Hit_Normal_Heavy_03,AM_Hero301_Hit_Normal_Heavy.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_NormalAttack_Reference,31,Efforts,普通攻击,龙夜,attack，efforts,EFF_Hero301_NormalAttack_Reference_01,AM_Hero301_NormalAttack_Reference.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_NormalAttack_Reference,32,Efforts,普通攻击,龙夜,attack，efforts,EFF_Hero301_NormalAttack_Reference_02,AM_Hero301_NormalAttack_Reference.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_NormalAttack_Reference,33,Efforts,普通攻击,龙夜,attack，efforts,EFF_Hero301_NormalAttack_Reference_03,AM_Hero301_NormalAttack_Reference.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_RunSprintStop_Back,34,Efforts,跑步,龙夜,"start,chant,accelarte, stop",EFF_Hero301_RunSprintStop_Back_01,AM_Hero301_RunSprintStop_Back.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_RunSprintStop_Back,35,Efforts,跑步,龙夜,"start,chant,accelarte, stop",EFF_Hero301_RunSprintStop_Back_02,AM_Hero301_RunSprintStop_Back.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_RunSprintStop_Back,36,Efforts,跑步,龙夜,"start,chant,accelarte, stop",EFF_Hero301_RunSprintStop_Back_03,AM_Hero301_RunSprintStop_Back.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_RunSprintStop_Front,37,Efforts,跑步,龙夜,"start,chant,accelarte, stop",EFF_Hero301_RunSprintStop_Front_01,AM_Hero301_RunSprintStop_Front.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_RunSprintStop_Front,38,Efforts,跑步,龙夜,"start,chant,accelarte, stop",EFF_Hero301_RunSprintStop_Front_02,AM_Hero301_RunSprintStop_Front.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_RunSprintStop_Front,39,Efforts,跑步,龙夜,"start,chant,accelarte, stop",EFF_Hero301_RunSprintStop_Front_03,AM_Hero301_RunSprintStop_Front.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Hit_ExKnockOver,40,Efforts,受击,帝国精英,Get hurt normal and standup,EFF_Captain_Common_Hit_ExKnockOver_01,AM_Captain_Common_Hit_ExKnockOver.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Hit_ExKnockOver,41,Efforts,受击,帝国精英,Get hurt normal and standup,EFF_Captain_Common_Hit_ExKnockOver_02,AM_Captain_Common_Hit_ExKnockOver.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Hit_ExKnockOver,42,Efforts,受击,帝国精英,Get hurt normal and standup,EFF_Captain_Common_Hit_ExKnockOver_03,AM_Captain_Common_Hit_ExKnockOver.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Hit_ExRise,43,Efforts,受击,帝国精英,Get hurt Heavy and fall,EFF_Captain_Common_Hit_ExRise_01,AM_Captain_Common_Hit_ExRise.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Hit_ExRise,44,Efforts,受击,帝国精英,Get hurt Heavy and fall,EFF_Captain_Common_Hit_ExRise_02,AM_Captain_Common_Hit_ExRise.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Hit_ExRise,45,Efforts,受击,帝国精英,Get hurt Heavy and fall,EFF_Captain_Common_Hit_ExRise_03,AM_Captain_Common_Hit_ExRise.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Hit_KnockOver_TechMove,46,Efforts,闪避动作,帝国精英,"Dodge, Dash, Efforts",EFF_Captain_Common_Hit_KnockOver_TechMove_01,AM_Captain_Common_Hit_KnockOver_TechMove.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Hit_KnockOver_TechMove,47,Efforts,闪避动作,帝国精英,"Dodge, Dash, Efforts",EFF_Captain_Common_Hit_KnockOver_TechMove_02,AM_Captain_Common_Hit_KnockOver_TechMove.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Hit_KnockOver_TechMove,48,Efforts,闪避动作,帝国精英,"Dodge, Dash, Efforts",EFF_Captain_Common_Hit_KnockOver_TechMove_03,AM_Captain_Common_Hit_KnockOver_TechMove.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Hit_Stand_Heavy_B,49,Efforts,受击,帝国精英,Get hurt Heavy,EFF_Captain_Common_Hit_Stand_Heavy_B_01,AM_Captain_Common_Hit_Stand_Heavy_B.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Hit_Stand_Heavy_B,50,Efforts,受击,帝国精英,Get hurt Heavy,EFF_Captain_Common_Hit_Stand_Heavy_B_02,AM_Captain_Common_Hit_Stand_Heavy_B.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Hit_Stand_Heavy_B,51,Efforts,受击,帝国精英,Get hurt Heavy,EFF_Captain_Common_Hit_Stand_Heavy_B_03,AM_Captain_Common_Hit_Stand_Heavy_B.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Hit_Stand_Light_B,52,Efforts,受击,帝国精英,Get hurt Light,EFF_Captain_Common_Hit_Stand_Light_B_01,AM_Captain_Common_Hit_Stand_Light_B.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Hit_Stand_Light_B,53,Efforts,受击,帝国精英,Get hurt Light,EFF_Captain_Common_Hit_Stand_Light_B_02,AM_Captain_Common_Hit_Stand_Light_B.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Hit_Stand_Light_B,54,Efforts,受击,帝国精英,Get hurt Light,EFF_Captain_Common_Hit_Stand_Light_B_03,AM_Captain_Common_Hit_Stand_Light_B.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Hit_Weak_Loop_End,55,Efforts,受击,帝国精英,Get up,EFF_Captain_Common_Hit_Weak_Loop_End_01,AM_Captain_Common_Hit_Weak_Loop_End.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Hit_Weak_Loop_End,56,Efforts,受击,帝国精英,Get up,EFF_Captain_Common_Hit_Weak_Loop_End_02,AM_Captain_Common_Hit_Weak_Loop_End.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Hit_Weak_Loop_End,57,Efforts,受击,帝国精英,Get up,EFF_Captain_Common_Hit_Weak_Loop_End_03,AM_Captain_Common_Hit_Weak_Loop_End.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Stand_KnockOver,58,Efforts,受击,帝国精英,Get hurt,EFF_Captain_Common_Stand_KnockOver_01,AM_Captain_Common_Stand_KnockOver.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Stand_KnockOver,59,Efforts,受击,帝国精英,Get hurt,EFF_Captain_Common_Stand_KnockOver_02,AM_Captain_Common_Stand_KnockOver.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Stand_KnockOver,60,Efforts,受击,帝国精英,Get hurt,EFF_Captain_Common_Stand_KnockOver_03,AM_Captain_Common_Stand_KnockOver.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_WalkFoward_Loop,61,Efforts,走路,帝国精英,breath,EFF_Captain_Common_WalkFoward_Loop_01,AM_Captain_Common_WalkFoward_Loop.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_WalkFoward_Loop,62,Efforts,走路,帝国精英,breath,EFF_Captain_Common_WalkFoward_Loop_02,AM_Captain_Common_WalkFoward_Loop.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_WalkFoward_Loop,63,Efforts,走路,帝国精英,breath,EFF_Captain_Common_WalkFoward_Loop_03,AM_Captain_Common_WalkFoward_Loop.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_DashAttack_Start,64,Efforts,冲刺攻击,帝国精英,charge,EFF_Captain_TwinBlade_DashAttack_Start_01,AM_Captain_TwinBlade_DashAttack_Start.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_DashAttack_Start,65,Efforts,冲刺攻击,帝国精英,charge,EFF_Captain_TwinBlade_DashAttack_Start_02,AM_Captain_TwinBlade_DashAttack_Start.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_DashAttack_Start,66,Efforts,冲刺攻击,帝国精英,charge,EFF_Captain_TwinBlade_DashAttack_Start_03,AM_Captain_TwinBlade_DashAttack_Start.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_DashAttack01,67,Efforts,冲刺攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_DashAttack01_01,AM_Captain_TwinBlade_DashAttack01.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_DashAttack01,68,Efforts,冲刺攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_DashAttack01_02,AM_Captain_TwinBlade_DashAttack01.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_DashAttack01,69,Efforts,冲刺攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_DashAttack01_03,AM_Captain_TwinBlade_DashAttack01.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_DashAttack02,70,Efforts,冲刺攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_DashAttack02_01,AM_Captain_TwinBlade_DashAttack02.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_DashAttack02,71,Efforts,冲刺攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_DashAttack02_02,AM_Captain_TwinBlade_DashAttack02.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_DashAttack02,72,Efforts,冲刺攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_DashAttack02_03,AM_Captain_TwinBlade_DashAttack02.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_DashAttack03,73,Efforts,冲刺攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_DashAttack03_01,AM_Captain_TwinBlade_DashAttack03.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_DashAttack03,74,Efforts,冲刺攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_DashAttack03_02,AM_Captain_TwinBlade_DashAttack03.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_DashAttack03,75,Efforts,冲刺攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_DashAttack03_03,AM_Captain_TwinBlade_DashAttack03.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_Defend_Parry,76,Efforts,弹刀,帝国精英,Laugh short,EFF_Captain_TwinBlade_Defend_Parry_01,AM_Captain_TwinBlade_Defend_Parry.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_Defend_Parry,77,Efforts,弹刀,帝国精英,Laugh short,EFF_Captain_TwinBlade_Defend_Parry_02,AM_Captain_TwinBlade_Defend_Parry.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_Defend_Parry,78,Efforts,弹刀,帝国精英,Laugh short,EFF_Captain_TwinBlade_Defend_Parry_03,AM_Captain_TwinBlade_Defend_Parry.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_FireBlade,79,Efforts,攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_FireBlade_01,AM_Captain_TwinBlade_FireBlade.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_FireBlade,80,Efforts,攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_FireBlade_02,AM_Captain_TwinBlade_FireBlade.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_FireBlade,81,Efforts,攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_FireBlade_03,AM_Captain_TwinBlade_FireBlade.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_MeleeAttack01,82,Efforts,攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_MeleeAttack01_01,AM_Captain_TwinBlade_MeleeAttack01.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_MeleeAttack01,83,Efforts,攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_MeleeAttack01_02,AM_Captain_TwinBlade_MeleeAttack01.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_MeleeAttack01,84,Efforts,攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_MeleeAttack01_03,AM_Captain_TwinBlade_MeleeAttack01.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_MeleeAttack02,85,Efforts,攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_MeleeAttack02_01,AM_Captain_TwinBlade_MeleeAttack02.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_MeleeAttack02,86,Efforts,攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_MeleeAttack02_02,AM_Captain_TwinBlade_MeleeAttack02.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_MeleeAttack02,87,Efforts,攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_MeleeAttack02_03,AM_Captain_TwinBlade_MeleeAttack02.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_MeleeAttack03,88,Efforts,攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_MeleeAttack03_01,AM_Captain_TwinBlade_MeleeAttack03.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_MeleeAttack03,89,Efforts,攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_MeleeAttack03_02,AM_Captain_TwinBlade_MeleeAttack03.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_MeleeAttack03,90,Efforts,攻击,帝国精英,Attack Effort,EFF_Captain_TwinBlade_MeleeAttack03_03,AM_Captain_TwinBlade_MeleeAttack03.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_SendCommand,91,Efforts,指挥命令,帝国精英,Attack Effort,EFF_Captain_TwinBlade_SendCommand_01,AM_Captain_TwinBlade_SendCommand.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_SendCommand,92,Efforts,指挥命令,帝国精英,Attack Effort,EFF_Captain_TwinBlade_SendCommand_02,AM_Captain_TwinBlade_SendCommand.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_SendCommand,93,Efforts,指挥命令,帝国精英,Attack Effort,EFF_Captain_TwinBlade_SendCommand_03,AM_Captain_TwinBlade_SendCommand.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_StepBack,94,Efforts,跳跃,帝国精英,Jump Effort,EFF_Captain_TwinBlade_StepBack_01,AM_Captain_TwinBlade_StepBack.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_StepBack,95,Efforts,跳跃,帝国精英,Jump Effort,EFF_Captain_TwinBlade_StepBack_02,AM_Captain_TwinBlade_StepBack.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_StepBack,96,Efforts,跳跃,帝国精英,Jump Effort,EFF_Captain_TwinBlade_StepBack_03,AM_Captain_TwinBlade_StepBack.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_Tramp,97,Efforts,攻击技能,帝国精英,Attack Effort,EFF_Captain_TwinBlade_Tramp_01,AM_Captain_TwinBlade_Tramp.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_Tramp,98,Efforts,攻击技能,帝国精英,Attack Effort,EFF_Captain_TwinBlade_Tramp_02,AM_Captain_TwinBlade_Tramp.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_Tramp,99,Efforts,攻击技能,帝国精英,Attack Effort,EFF_Captain_TwinBlade_Tramp_03,AM_Captain_TwinBlade_Tramp.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Dead,100,Efforts,死亡,帝国精英,Dying Cry,EFF_Captain_Common_Dead_01,AM_Captain_Common_Dead.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Dead,101,Efforts,死亡,帝国精英,Dying Cry,EFF_Captain_Common_Dead_02,AM_Captain_Common_Dead.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_Common_Dead,102,Efforts,死亡,帝国精英,Dying Cry,EFF_Captain_Common_Dead_03,AM_Captain_Common_Dead.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_DefendMove_Dash_Loop_Root,103,Efforts,攻击技能,帝国精英,Attack Effort,EFF_Captain_TwinBlade_DefendMove_Dash_Loop_Root_01,AM_Captain_TwinBlade_DefendMove_Dash_Loop_Root.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_DefendMove_Dash_Loop_Root,104,Efforts,攻击技能,帝国精英,Attack Effort,EFF_Captain_TwinBlade_DefendMove_Dash_Loop_Root_02,AM_Captain_TwinBlade_DefendMove_Dash_Loop_Root.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_DefendMove_Dash_Loop_Root,105,Efforts,攻击技能,帝国精英,Attack Effort,EFF_Captain_TwinBlade_DefendMove_Dash_Loop_Root_03,AM_Captain_TwinBlade_DefendMove_Dash_Loop_Root.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_DefendMove_Dash_Loop,106,Efforts,攻击技能,帝国精英,Attack Effort,EFF_Captain_TwinBlade_DefendMove_Dash_Loop_01,AM_Captain_TwinBlade_DefendMove_Dash_Loop.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_DefendMove_Dash_Loop,107,Efforts,攻击技能,帝国精英,Attack Effort,EFF_Captain_TwinBlade_DefendMove_Dash_Loop_02,AM_Captain_TwinBlade_DefendMove_Dash_Loop.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Captain_TwinBlade_DefendMove_Dash_Loop,108,Efforts,攻击技能,帝国精英,Attack Effort,EFF_Captain_TwinBlade_DefendMove_Dash_Loop_03,AM_Captain_TwinBlade_DefendMove_Dash_Loop.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_NormalAttack01,109,Efforts,普通攻击,凯尔,Attack Effort,EFF_Hero101_NormalAttack01_01,Hero101_NormalAttack.mp4,,,,,,,,,,,,,,,,,,,,
